Pays	Zone géographique	ID produit	Catégorie	Sous-catégorie	Nom du produit	Montant des ventes	Quantité	Remise	Profit	Retourné
Allemagne	Centre	FOU-ST-10002960	Fournitures de bureau	Stockage	Fellowes Dossiers. Industriel	24.192	1	0.1	3.492	Non
France	Centre	MOB-CH-10002029	Mobilier	Chaises	Harbour Creations Dessous de siège. Livré par deux	133.65	2	0.1	4.41	Non
France	Centre	FOU-AR-10003527	Fournitures de bureau	Art	Sanford Stylos. Tailles assorties	42.84	3	0	19.62	Non
France	Centre	FOU-CL-10001465	Fournitures de bureau	Classeurs	Avery Couverture de classeur. Économique	44.28	4	0	13.68	Non
Allemagne	Centre	PRO-AC-10003397	Produits technologiques	Accessoires	SanDisk Routeur. Recyclé	1016.64	4	0	406.56	Non
Allemagne	Centre	FOU-FO-10002900	Fournitures de bureau	Fournitures	Stiletto Rasoir. Bleu	213.75	5	0	46.95	Non
Allemagne	Centre	FOU-FO-10003753	Fournitures de bureau	Fournitures	Elite Rasoir. Bleu	250.02	6	0	12.42	Non
Allemagne	Centre	FOU-ST-10003889	Fournitures de bureau	Stockage	Rogers Boîte. Bleu	129.438	6	0.1	-11.682	Non
Royaume-Uni	Nord	MOB-ME-10000849	Mobilier	Meubles	Deflect-O Ampoule. Durable	44.856	4	0.3	12.816	Non
Royaume-Uni	Nord	FOU-AR-10004371	Fournitures de bureau	Art	Stanley Carnet de croquis. Bleu	133.29	3	0	43.92	Non
Royaume-Uni	Nord	FOU-CL-10000379	Fournitures de bureau	Classeurs	Avery Machine à relier. Recyclé	98.4	2	0	42.3	Non
France	Centre	MOB-CH-10003337	Mobilier	Chaises	Novimex Dessous de siège. Réglable	264.735	5	0.1	82.335	Non
France	Centre	FOU-PA-10004399	Fournitures de bureau	Papier	Enermax Fiches mémo. Qualité supérieure	31.32	2	0	0.6	Non
France	Centre	FOU-EN-10001884	Fournitures de bureau	Enveloppes	Ames Enveloppes. Argent	229.5	6	0	20.52	Non
France	Centre	FOU-EN-10004743	Fournitures de bureau	Enveloppes	Cameo Enveloppe à fermoir. Argent	35.73	3	0	8.55	Non
Royaume-Uni	Nord	PRO-PH-10004590	Produits technologiques	Photocopieurs	Canon Télécopieur sans fil. Numérique	1891.5	5	0	832.2	Non
France	Centre	FOU-ÉL-10004090	Fournitures de bureau	Éléments de fixation	Stockwell Agrafes. Tailles assorties	57.75	7	0	24.78	Non
France	Centre	FOU-ÉT-10001134	Fournitures de bureau	Étiquettes	Novimex Étiquettes légales. Blanc	20.94	2	0	7.08	Non
France	Centre	MOB-ME-10003131	Mobilier	Meubles	Advantus Cadre. Durable	973.35	9	0	106.92	Non
France	Centre	FOU-CL-10003871	Fournitures de bureau	Classeurs	Acco Onglets. Clair	16.08	2	0	6.72	Non
France	Centre	FOU-EN-10004648	Fournitures de bureau	Enveloppes	Cameo Enveloppe professionnelle. Argent	77.4	4	0	8.4	Non
Allemagne	Centre	FOU-ÉT-10003699	Fournitures de bureau	Étiquettes	Harbour Creations Étiquettes repositionnables. Ajustable	37.125	5	0.1	1.575	Oui
France	Centre	PRO-TÉ-10001602	Produits technologiques	Téléphones	Samsung Casque. Tailles assorties	129.285	2	0.15	48.645	Non
Allemagne	Centre	FOU-AR-10000240	Fournitures de bureau	Art	Sanford Toile. Bleu	151.56	3	0	43.92	Non
Italie	Sud	MOB-ME-10003327	Mobilier	Meubles	Advantus Ampoule. Noir	40.14	2	0	18.84	Non
Royaume-Uni	Nord	FOU-ST-10003205	Fournitures de bureau	Stockage	Smead Dossiers. Bleu	34.98	2	0	4.14	Non
Royaume-Uni	Nord	FOU-EN-10003916	Fournitures de bureau	Enveloppes	Cameo Enveloppe interservices. Recyclé	92.46	2	0	38.82	Non
France	Centre	MOB-BI-10002102	Mobilier	Bibliothèques	Ikea Bibliothèque. Métal	439.344	4	0.1	63.384	Non
France	Centre	PRO-TÉ-10001470	Produits technologiques	Téléphones	Samsung Dispositif audio. Taille réelle	285.804	2	0.15	-6.756	Non
Allemagne	Centre	PRO-TÉ-10000201	Produits technologiques	Téléphones	Apple Dispositif audio. Bleu	500.67	3	0	75.06	Non
Royaume-Uni	Nord	FOU-AR-10003182	Fournitures de bureau	Art	Binney & Smith Carnet de croquis. Tailles assorties	148.5	3	0	48.96	Non
Royaume-Uni	Nord	PRO-PH-10000251	Produits technologiques	Photocopieurs	HP Télécopieur. Rouge	1490.7	5	0	74.4	Non
Royaume-Uni	Nord	FOU-AR-10002182	Fournitures de bureau	Art	Boston Stylos. Tailles assorties	104.4	6	0	9.36	Non
Royaume-Uni	Nord	FOU-AR-10002898	Fournitures de bureau	Art	Binney & Smith Marqueurs. Emballage en vrac	97.44	4	0	38.88	Non
Allemagne	Centre	PRO-TÉ-10002975	Produits technologiques	Téléphones	Samsung Smartphone. Bleu	369.72	3	0	22.14	Non
France	Centre	FOU-AR-10002182	Fournitures de bureau	Art	Boston Stylos. Tailles assorties	52.2	3	0	4.68	Non
France	Centre	FOU-ÉL-10001147	Fournitures de bureau	Éléments de fixation	Stockwell Élastiques. Par paquet de 12	15.96	1	0	1.59	Non
France	Centre	FOU-ST-10004420	Fournitures de bureau	Stockage	Eldon Rayonnage. Bleu	130.734	3	0.1	24.624	Non
France	Centre	MOB-CH-10001418	Mobilier	Chaises	Novimex Chaise pliante. Réglable	228.744	3	0.1	10.134	Non
France	Centre	FOU-ST-10000202	Fournitures de bureau	Stockage	Tenex Plateaux. Taille réelle	146.448	3	0.1	45.558	Non
Italie	Sud	FOU-ST-10002787	Fournitures de bureau	Stockage	Rogers Chariot. Taille réelle	509.868	6	0.4	-119.052	Non
Suède	Nord	MOB-CH-10004987	Mobilier	Chaises	Office Star Chaise de plage. Noir	159.03	6	0.5	-28.71	Non
Suède	Nord	FOU-PA-10000938	Fournitures de bureau	Papier	Enermax Cahier. Multicolore	59.82	4	0.5	-34.74	Non
Suède	Nord	FOU-PA-10001039	Fournitures de bureau	Papier	Enermax Fiches mémo. Recyclé	7.785	1	0.5	-4.845	Non
Suède	Nord	FOU-ÉL-10001438	Fournitures de bureau	Éléments de fixation	OIC Trombones. Tailles assorties	11.88	2	0.5	-5.94	Non
Suède	Nord	PRO-TÉ-10004140	Produits technologiques	Téléphones	Nokia Smartphone. Taille réelle	248.88	4	0.5	-149.4	Non
Allemagne	Centre	PRO-AC-10003932	Produits technologiques	Accessoires	Enermax Souris. Économique	161.16	4	0	19.32	Non
Allemagne	Centre	FOU-CL-10002040	Fournitures de bureau	Classeurs	Ibico Renforts de perforations. Économique	20.97	3	0	10.26	Non
Espagne	Sud	FOU-FO-10003542	Fournitures de bureau	Fournitures	Fiskars Coupe-papier. Acier	54.66	2	0	2.16	Non
France	Centre	FOU-CL-10003871	Fournitures de bureau	Classeurs	Acco Onglets. Clair	24.12	3	0	10.08	Non
Portugal	Sud	PRO-TÉ-10001382	Produits technologiques	Téléphones	Samsung Amplificateur de signal. Bleu	341.475	5	0.5	-341.475	Non
Autriche	Centre	FOU-AR-10001216	Fournitures de bureau	Art	Binney & Smith Stylos. Tailles assorties	30.24	2	0	10.86	Non
Autriche	Centre	FOU-ST-10002968	Fournitures de bureau	Stockage	Tenex Chariot. Bleu	402.39	3	0	76.41	Non
Allemagne	Centre	FOU-ST-10004420	Fournitures de bureau	Stockage	Eldon Rayonnage. Bleu	87.156	2	0.1	16.416	Non
France	Centre	MOB-BI-10000612	Mobilier	Bibliothèques	Safco Étagères. Noir	356.562	2	0.1	19.782	Non
Allemagne	Centre	FOU-AR-10003297	Fournitures de bureau	Art	Stanley Stylos. Tailles assorties	52.92	4	0	16.92	Non
Pays-Bas	Centre	FOU-CL-10003697	Fournitures de bureau	Classeurs	Wilson Jones Classeur. Recyclé	46.83	7	0.5	-11.34	Non
Pays-Bas	Centre	MOB-CH-10002323	Mobilier	Chaises	Office Star Chaise pliante. Rouge	183.42	4	0.5	-139.5	Non
Royaume-Uni	Nord	FOU-ST-10004093	Fournitures de bureau	Stockage	Eldon Boîte. Taille réelle	20.58	2	0	5.94	Non
Italie	Sud	FOU-ST-10004285	Fournitures de bureau	Stockage	Rogers Plateaux. Bleu	37.008	1	0.4	-6.192	Non
Italie	Sud	FOU-ST-10001175	Fournitures de bureau	Stockage	Eldon Chariot. Industriel	154.044	2	0.4	7.644	Non
Italie	Sud	MOB-CH-10000804	Mobilier	Chaises	Novimex Chaise de plage. Livré par deux	96.42	5	0.6	-86.88	Non
Allemagne	Centre	FOU-ST-10000848	Fournitures de bureau	Stockage	Eldon Casiers. Industriel	714.204	4	0.1	309.444	Non
Allemagne	Centre	PRO-PH-10004267	Produits technologiques	Photocopieurs	Hewlett Télécopieur. Livré par deux	319.92	1	0	15.99	Non
Italie	Sud	FOU-ÉL-10004117	Fournitures de bureau	Éléments de fixation	OIC Colliers. Emballage en vrac	19.77	1	0	9.87	Non
France	Centre	PRO-TÉ-10003206	Produits technologiques	Téléphones	Motorola Téléphone de bureau. Taille réelle	372.555	6	0.15	74.475	Non
France	Centre	PRO-AC-10002562	Produits technologiques	Accessoires	Logitech Clavier. Recyclé	491.82	7	0	44.1	Non
France	Centre	FOU-ÉL-10000267	Fournitures de bureau	Éléments de fixation	Accos Agrafes. Métal	154.98	14	0	30.66	Non
Espagne	Sud	FOU-AR-10002119	Fournitures de bureau	Art	Stanley Taille-crayon. Tailles assorties	83.88	3	0	3.33	Non
France	Centre	FOU-CL-10001376	Fournitures de bureau	Classeurs	Ibico Couverture de classeur. Clair	91.77	7	0	6.3	Non
France	Centre	FOU-ST-10002208	Fournitures de bureau	Stockage	Smead Rayonnage. Métal	129.6	3	0.1	51.84	Non
France	Centre	PRO-AC-10003725	Produits technologiques	Accessoires	Logitech Clavier. Recyclé	397.17	9	0	162.81	Non
France	Centre	FOU-FO-10001503	Fournitures de bureau	Fournitures	Acme Cutter. Bleu	113.4	3	0	54.36	Non
France	Centre	FOU-ST-10002518	Fournitures de bureau	Stockage	Eldon Dossiers. Taille réelle	61.236	4	0.1	25.116	Non
France	Centre	FOU-ÉT-10003775	Fournitures de bureau	Étiquettes	Harbour Creations Étiquettes arrondies. Rouge	59.13	9	0	23.49	Non
Allemagne	Centre	PRO-TÉ-10004301	Produits technologiques	Téléphones	Motorola Casque. Bleu	558.18	7	0	184.17	Non
Allemagne	Centre	FOU-ÉL-10000198	Fournitures de bureau	Éléments de fixation	Stockwell Punaises. Emballage en vrac	27.96	2	0	10.02	Non
Allemagne	Centre	PRO-TÉ-10002765	Produits technologiques	Téléphones	Cisco Dispositif audio. Taille réelle	550.08	3	0	82.44	Non
Allemagne	Centre	FOU-ÉT-10002974	Fournitures de bureau	Étiquettes	Novimex Étiquettes arrondies. Blanc	25.08	4	0	11.76	Non
Allemagne	Centre	FOU-ST-10001916	Fournitures de bureau	Stockage	Rogers Dossiers. Industriel	84.159	3	0.1	3.699	Non
France	Centre	FOU-ST-10002872	Fournitures de bureau	Stockage	Smead Boîte. Taille réelle	38.88	4	0.1	6.84	Non
France	Centre	MOB-BI-10002376	Mobilier	Bibliothèques	Ikea Bibliothèque. Blanc	987.957	3	0.1	-54.963	Non
Pays-Bas	Centre	PRO-AC-10004629	Produits technologiques	Accessoires	Memorex Clavier. Recyclé	86.04	4	0.5	-29.28	Non
Pays-Bas	Centre	FOU-AR-10001734	Fournitures de bureau	Art	Boston Carnet de croquis. Emballage en vrac	48.87	2	0.5	-20.55	Non
Italie	Sud	FOU-PA-10000414	Fournitures de bureau	Papier	Xerox Papier à lettres. Recyclé	134.64	3	0	43.02	Non
Italie	Sud	FOU-ST-10004540	Fournitures de bureau	Stockage	Fellowes Boîte. Métal	56.25	5	0.4	5.55	Non
France	Centre	FOU-AR-10002119	Fournitures de bureau	Art	Stanley Taille-crayon. Tailles assorties	27.96	1	0	1.11	Non
France	Centre	PRO-AC-10002132	Produits technologiques	Accessoires	Logitech Routeur. Recyclé	980.52	4	0	176.4	Non
France	Centre	PRO-AC-10002132	Produits technologiques	Accessoires	Belkin Carte mémoire. Économique	229.62	2	0	50.46	Non
France	Centre	FOU-CL-10003491	Fournitures de bureau	Classeurs	Acco Perforatrice. Économique	90.36	3	0	17.1	Non
Royaume-Uni	Nord	PRO-TÉ-10004925	Produits technologiques	Téléphones	Apple Casque. Bleu	73.26	2	0.5	-51.3	Non
Royaume-Uni	Nord	MOB-CH-10004987	Mobilier	Chaises	Office Star Chaise de plage. Noir	26.505	1	0.5	-4.785	Non
Royaume-Uni	Nord	FOU-CL-10000157	Fournitures de bureau	Classeurs	Acco Couverture de classeur. Durable	37.05	5	0.5	-3.75	Non
France	Centre	FOU-ST-10000950	Fournitures de bureau	Stockage	Fellowes Chariot. Industriel	248.022	2	0.1	8.262	Non
Italie	Sud	FOU-FO-10001783	Fournitures de bureau	Fournitures	Stiletto Règle. Rectangulaire	46.32	4	0	15.24	Non
Italie	Sud	FOU-FO-10000057	Fournitures de bureau	Fournitures	Acme Ciseaux. Industriel	108.24	4	0	25.92	Non
Italie	Sud	MOB-BI-10001964	Mobilier	Bibliothèques	Bush Bibliothèque. Métal	2546.46	7	0	381.78	Non
Italie	Sud	FOU-EN-10002531	Fournitures de bureau	Enveloppes	Jiffy Enveloppe professionnelle. Livré par 50	47.88	3	0	2.79	Non
Italie	Sud	FOU-ST-10000473	Fournitures de bureau	Stockage	Fellowes Plateaux. Bleu	137.736	4	0.4	-75.864	Non
Allemagne	Centre	FOU-CL-10000997	Fournitures de bureau	Classeurs	Cardinal Renforts de perforations. Clair	24	5	0	10.95	Non
Allemagne	Centre	FOU-EN-10004743	Fournitures de bureau	Enveloppes	Cameo Enveloppe à fermoir. Argent	35.73	3	0	8.55	Non
Royaume-Uni	Nord	PRO-PH-10001315	Produits technologiques	Photocopieurs	HP Télécopieur. Livré par deux	899.82	3	0	359.91	Non
Royaume-Uni	Nord	PRO-TÉ-10003708	Produits technologiques	Téléphones	Motorola Amplificateur de signal. Emballage en vrac	716.1	5	0	35.7	Non
Royaume-Uni	Nord	MOB-ME-10002225	Mobilier	Meubles	Deflect-O Plateau d'empilement. Noir	53.109	3	0.3	-18.981	Non
Royaume-Uni	Nord	FOU-EN-10000979	Fournitures de bureau	Enveloppes	Ames Enveloppe interservices. Argent	95.04	2	0	46.56	Non
Allemagne	Centre	FOU-ST-10000890	Fournitures de bureau	Stockage	Fellowes Plateaux. Métal	152.442	3	0.1	25.362	Non
Allemagne	Centre	PRO-TÉ-10003206	Produits technologiques	Téléphones	Motorola Téléphone de bureau. Taille réelle	365.25	5	0	116.85	Non
Allemagne	Centre	PRO-PH-10004854	Produits technologiques	Photocopieurs	Hewlett Photocopieur. Couleur	530.22	2	0	180.24	Non
Allemagne	Centre	PRO-PH-10003099	Produits technologiques	Photocopieurs	Sharp Photocopieur. Numérique	717.12	3	0	93.15	Non
France	Centre	FOU-ÉT-10000708	Fournitures de bureau	Étiquettes	Novimex Étiquettes d'expédition. Rouge	43.2	4	0	21.6	Non
France	Centre	MOB-TA-10003537	Mobilier	Tables	Barricks Table de réunion. Blanc	2364.102	4	0.35	-218.298	Non
France	Centre	MOB-CH-10003469	Mobilier	Chaises	Hon Rocking chair. Réglable	119.799	1	0.1	50.559	Non
Royaume-Uni	Nord	FOU-AR-10004349	Fournitures de bureau	Art	Sanford Marqueurs. Tailles assorties	79.29	3	0	7.11	Non
Royaume-Uni	Nord	FOU-EN-10004743	Fournitures de bureau	Enveloppes	Cameo Enveloppe à fermoir. Argent	35.73	3	0	8.55	Non
Royaume-Uni	Nord	MOB-CH-10001062	Mobilier	Chaises	Hon Chaise pliante. Livré par deux	585.69	7	0	122.85	Non
France	Centre	FOU-ÉT-10003166	Fournitures de bureau	Étiquettes	Hon Étiquettes couleur. Rouge	25.26	2	0	0.48	Non
France	Centre	FOU-ÉL-10001272	Fournitures de bureau	Électroménager	Hamilton Beach Plaque de cuisson. Argent	2443.905	5	0.1	760.305	Non
France	Centre	FOU-AR-10002809	Fournitures de bureau	Art	Binney & Smith Stylos. Emballage en vrac	12.21	1	0	0	Non
France	Centre	PRO-TÉ-10000278	Produits technologiques	Téléphones	Samsung Chargeur. Taille réelle	2167.296	4	0.15	790.416	Non
France	Centre	FOU-ST-10000376	Fournitures de bureau	Stockage	Rogers Dossiers. Bleu	138.105	5	0.1	-12.345	Non
Belgique	Centre	FOU-CL-10002834	Fournitures de bureau	Classeurs	Wilson Jones Perforatrice. Recyclé	198.45	7	0	59.43	Non
Allemagne	Centre	MOB-CH-10001099	Mobilier	Chaises	Harbour Creations Fauteuil. Réglable	2570.94	6	0.1	856.98	Non
France	Centre	MOB-CH-10003399	Mobilier	Chaises	SAFCO Chaise de plage. Réglable	83.088	4	0.6	-87.312	Non
France	Centre	PRO-TÉ-10004485	Produits technologiques	Téléphones	Nokia Dispositif audio. Tailles assorties	118.713	2	0.65	-152.667	Non
France	Centre	FOU-ST-10000387	Fournitures de bureau	Stockage	Tenex Casiers. Métal	914.49	5	0.1	213.24	Non
Allemagne	Centre	MOB-ME-10003104	Mobilier	Meubles	Eldon Butée de porte. Multi-emballage	150.66	3	0	46.62	Non
Allemagne	Centre	MOB-ME-10003692	Mobilier	Meubles	Deflect-O Horloge. Durable	142.02	3	0	45.36	Non
Allemagne	Centre	FOU-ST-10004007	Fournitures de bureau	Stockage	Tenex Rayonnage. Taille réelle	49.221	1	0.1	8.181	Non
Allemagne	Centre	FOU-CL-10003739	Fournitures de bureau	Classeurs	Ibico Renforts de perforations. Clair	12.9	2	0	4.98	Non
Allemagne	Centre	FOU-FO-10001807	Fournitures de bureau	Fournitures	Kleencut Ciseaux. Acier	43.38	2	0	2.58	Non
Allemagne	Centre	FOU-AR-10002892	Fournitures de bureau	Art	Sanford Surligneurs. Métal	153.09	9	0	64.26	Non
Autriche	Centre	PRO-TÉ-10002334	Produits technologiques	Téléphones	Motorola Casque. Tailles assorties	247.77	3	0	79.2	Non
Autriche	Centre	FOU-ÉT-10001085	Fournitures de bureau	Étiquettes	Novimex Étiquettes de dossier. Rouge	24.21	3	0	3.33	Non
Espagne	Sud	MOB-BI-10002170	Mobilier	Bibliothèques	Safco Bibliothèque. Métal	296.88	2	0	47.46	Non
Espagne	Sud	FOU-AR-10000080	Fournitures de bureau	Art	Stanley Surligneurs. Métal	95.76	6	0	35.28	Oui
Allemagne	Centre	PRO-TÉ-10000296	Produits technologiques	Téléphones	Nokia Chargeur. Taille réelle	1593.375	5	0.5	-1242.975	Non
France	Centre	FOU-CL-10001907	Fournitures de bureau	Classeurs	Acco Renforts de perforations. Recyclé	21.06	3	0	10.53	Non
Pays-Bas	Centre	FOU-ÉL-10001660	Fournitures de bureau	Éléments de fixation	Advantus Trombones. Métal	14.07	2	0.5	-9.87	Non
France	Centre	FOU-ÉT-10000800	Fournitures de bureau	Étiquettes	Smead Étiquettes d'expédition. Blanc	23.22	2	0	1.62	Non
France	Centre	MOB-ME-10000084	Mobilier	Meubles	Rubvermaid Cadre. Multi-emballage	439.8	4	0	48.36	Non
Royaume-Uni	Nord	FOU-AR-10001416	Fournitures de bureau	Art	Boston Carnet de croquis. Tailles assorties	155.34	3	0	4.59	Non
Espagne	Sud	FOU-ÉL-10004563	Fournitures de bureau	Électroménager	Hoover Grille-pain. Blanc	163.56	2	0	57.24	Non
France	Centre	FOU-CL-10001473	Fournitures de bureau	Classeurs	Cardinal Couverture de classeur. Clair	34.38	3	0	8.91	Non
France	Centre	PRO-TÉ-10001608	Produits technologiques	Téléphones	Nokia Chargeur. Bleu	1081.302	2	0.15	356.142	Non
France	Centre	MOB-BI-10001020	Mobilier	Bibliothèques	Dania Bibliothèque classique. Métal	2584.386	7	0.1	660.366	Non
Autriche	Centre	FOU-FO-10000053	Fournitures de bureau	Fournitures	Fiskars Ciseaux. Acier	94.08	2	0	27.24	Non
Espagne	Sud	FOU-FO-10003488	Fournitures de bureau	Fournitures	Stiletto Cutter. Acier	212.22	6	0	14.76	Non
Allemagne	Centre	FOU-EN-10000211	Fournitures de bureau	Enveloppes	Kraft Enveloppe interservices. Argent	98.64	2	0	9.84	Non
Allemagne	Centre	FOU-CL-10002597	Fournitures de bureau	Classeurs	Cardinal Perforatrice. Économique	144	5	0	64.8	Non
Royaume-Uni	Nord	MOB-BI-10001068	Mobilier	Bibliothèques	Dania Étagère d'angle. Classique	610.35	5	0	207.45	Non
Royaume-Uni	Nord	PRO-PH-10004547	Produits technologiques	Photocopieurs	Sharp Photocopieur personnel. Livré par deux	120	1	0	7.2	Non
France	Centre	FOU-ST-10004007	Fournitures de bureau	Stockage	Tenex Rayonnage. Taille réelle	49.221	1	0.1	8.181	Non
France	Centre	FOU-ÉT-10004015	Fournitures de bureau	Étiquettes	Harbour Creations Étiquettes d'expédition. Durable	23.7	2	0	5.16	Non
France	Centre	FOU-AR-10004414	Fournitures de bureau	Art	Binney & Smith Stylos. Métal	26.4	2	0	0.48	Non
France	Centre	PRO-MA-10004161	Produits technologiques	Machines	StarTech Imprimante. Rouge	645.966	3	0.15	212.706	Non
France	Centre	PRO-PH-10002624	Produits technologiques	Photocopieurs	HP Encre. Rouge	431.46	4	0.15	-45.78	Non
France	Centre	MOB-BI-10003761	Mobilier	Bibliothèques	Ikea Étagères. Blanc	466.722	3	0.1	-25.938	Non
Allemagne	Centre	FOU-ST-10003444	Fournitures de bureau	Stockage	Smead Plateaux. Taille réelle	130.977	3	0.1	31.977	Non
Allemagne	Centre	FOU-CL-10004522	Fournitures de bureau	Classeurs	Avery Machine à relier. Clair	48.3	1	0	5.79	Non
Allemagne	Centre	FOU-FO-10003864	Fournitures de bureau	Fournitures	Elite Coupe-papier. Industriel	144.6	5	0	7.2	Non
Royaume-Uni	Nord	FOU-CL-10002162	Fournitures de bureau	Classeurs	Cardinal Perforatrice. Clair	84.78	3	0	17.73	Non
France	Centre	FOU-PA-10003862	Fournitures de bureau	Papier	SanDisk Cahier. Qualité supérieure	89.46	3	0	26.82	Non
France	Centre	FOU-ST-10003358	Fournitures de bureau	Stockage	Smead Dossiers. Taille réelle	47.304	3	0.1	11.034	Non
France	Centre	MOB-BI-10002677	Mobilier	Bibliothèques	Safco Bibliothèque. Blanc	1765.395	5	0.1	-98.205	Non
France	Centre	FOU-ÉL-10002787	Fournitures de bureau	Électroménager	KitchenAid Moulin à café. Rouge	190.269	3	0.1	14.769	Non
Italie	Sud	FOU-CL-10004026	Fournitures de bureau	Classeurs	Ibico Machine à relier. Durable	370.44	7	0	170.31	Non
Royaume-Uni	Nord	FOU-ST-10004207	Fournitures de bureau	Stockage	Eldon Chariot. Taille réelle	345.384	3	0.1	30.654	Non
Italie	Sud	FOU-ST-10002518	Fournitures de bureau	Stockage	Eldon Dossiers. Taille réelle	30.618	3	0.4	3.528	Non
Italie	Sud	FOU-CL-10002478	Fournitures de bureau	Classeurs	Acco Classeur. Recyclé	124.08	8	0	3.6	Non
Italie	Sud	FOU-EN-10000162	Fournitures de bureau	Enveloppes	Ames Auto-adhésive. Rouge	88.92	4	0	40.8	Non
Italie	Sud	FOU-AR-10002119	Fournitures de bureau	Art	Stanley Taille-crayon. Tailles assorties	111.84	4	0	4.44	Non
Italie	Sud	FOU-ÉL-10003041	Fournitures de bureau	Éléments de fixation	Advantus Élastiques. Emballage en vrac	16.59	1	0	5.46	Non
Royaume-Uni	Nord	MOB-ME-10001179	Mobilier	Meubles	Advantus Butée de porte. Multi-emballage	157.815	5	0.3	-54.135	Non
France	Centre	PRO-AC-10001316	Produits technologiques	Accessoires	Enermax Clavier. Programmable	254.88	3	0	109.53	Non
Royaume-Uni	Nord	FOU-AR-10003728	Fournitures de bureau	Art	Sanford Stylos. Métal	22.248	2	0.1	4.428	Non
Royaume-Uni	Nord	FOU-CL-10004434	Fournitures de bureau	Classeurs	Acco Classeur. Clair	39.447	3	0.1	10.017	Non
France	Centre	FOU-FO-10000900	Fournitures de bureau	Fournitures	Stiletto Ciseaux. Industriel	75.69	3	0	19.62	Non
France	Centre	MOB-CH-10000453	Mobilier	Chaises	Novimex Chaise pliante. Rouge	444.042	6	0.1	162.702	Non
Danemark	Nord	PRO-PH-10001725	Produits technologiques	Photocopieurs	Sharp Encre. Couleur	188.775	3	0.5	-11.385	Non
Royaume-Uni	Nord	FOU-CL-10001656	Fournitures de bureau	Classeurs	Avery Onglets. Durable	39.15	5	0	16.05	Non
Royaume-Uni	Nord	PRO-MA-10001583	Produits technologiques	Machines	Okidata Jet d'encre. Multicolore	2198.7	7	0	923.37	Non
Royaume-Uni	Nord	MOB-CH-10000888	Mobilier	Chaises	Hon Chaise de plage. Réglable	333.48	7	0	73.29	Non
Allemagne	Centre	PRO-TÉ-10003927	Produits technologiques	Téléphones	Apple Smartphone. Taille réelle	124.59	1	0	53.55	Non
Allemagne	Centre	FOU-ST-10003595	Fournitures de bureau	Stockage	Smead Boîte. Métal	17.712	2	0.1	1.332	Non
Royaume-Uni	Nord	MOB-TA-10003378	Mobilier	Tables	Lesro Table basse. Blanc	508.38	2	0	172.8	Non
Royaume-Uni	Nord	PRO-PH-10001794	Produits technologiques	Photocopieurs	Hewlett Télécopieur sans fil. Couleur	763.26	2	0	152.64	Non
France	Centre	FOU-ÉT-10002232	Fournitures de bureau	Étiquettes	Smead Étiquettes légales. Ajustable	27	3	0	3.78	Non
France	Centre	FOU-AR-10000761	Fournitures de bureau	Art	Stanley Marqueurs. Emballage en vrac	22.47	1	0	0	Non
Allemagne	Centre	MOB-CH-10001900	Mobilier	Chaises	Hon Dessous de siège. Rouge	149.931	3	0.1	6.651	Non
Allemagne	Centre	PRO-MA-10002525	Produits technologiques	Machines	Okidata Jet d'encre. Rouge	622.5	2	0	80.88	Non
France	Centre	PRO-PH-10003892	Produits technologiques	Photocopieurs	Brother Photocopieur. Couleur	672.5115	3	0.15	221.5215	Non
France	Centre	FOU-ST-10000993	Fournitures de bureau	Stockage	Fellowes Chariot. Bleu	247.158	2	0.1	82.338	Non
France	Centre	FOU-CL-10004240	Fournitures de bureau	Classeurs	Wilson Jones Onglets. Économique	25.8	4	0	6.6	Non
France	Centre	PRO-MA-10000652	Produits technologiques	Machines	Konica Téléphone. Rouge	141.678	2	0.15	44.958	Oui
France	Centre	FOU-ST-10000194	Fournitures de bureau	Stockage	Smead Rayonnage. Taille réelle	88.128	2	0.1	34.248	Oui
Pays-Bas	Centre	FOU-AR-10004917	Fournitures de bureau	Art	Sanford Taille-crayon. Tailles assorties	14.505	1	0.5	-11.325	Non
Allemagne	Centre	FOU-AR-10003411	Fournitures de bureau	Art	Boston Toile. Métal	109.8	2	0	19.74	Non
Allemagne	Centre	FOU-ST-10004184	Fournitures de bureau	Stockage	Fellowes Dossiers. Bleu	47.52	2	0.1	21.12	Non
Royaume-Uni	Nord	FOU-CL-10002523	Fournitures de bureau	Classeurs	Wilson Jones Perforatrice. Clair	82.35	3	0	23.04	Non
Royaume-Uni	Nord	MOB-CH-10004769	Mobilier	Chaises	Hon Fauteuil. Rouge	822.852	2	0.1	246.852	Non
Royaume-Uni	Nord	FOU-FO-10000660	Fournitures de bureau	Fournitures	Fiskars Ciseaux. Acier	284.256	14	0.1	122.976	Non
Pays-Bas	Centre	FOU-AR-10000828	Fournitures de bureau	Art	Sanford Taille-crayon. Emballage en vrac	39.15	3	0.5	-18.81	Non
Allemagne	Centre	PRO-TÉ-10003153	Produits technologiques	Téléphones	Nokia Téléphone de bureau. Emballage en vrac	195.66	3	0	72.36	Non
Espagne	Sud	FOU-EN-10002351	Fournitures de bureau	Enveloppes	Kraft Enveloppe professionnelle. Rouge	59.94	3	0	28.71	Non
Espagne	Sud	PRO-TÉ-10002334	Produits technologiques	Téléphones	Motorola Casque. Tailles assorties	445.986	6	0.1	108.846	Non
